,city,state
13758,Westland ,PA
13767,Westmoreland City ,PA
13770,Weston ,MI
13779,Westpoint ,IN
13783,Westport ,SD
13784,Westport ,TN
13786,Westtown ,NY
13794,Wever ,IA
13796,Wexford ,PA
13799,Weymouth ,MA
13805,Wheatland ,OK
13814,Wheelwright ,MA
13815,Whippany ,NJ
13818,White ,PA
13822,White Cottage ,OH
13825,White Hall ,MD
13826,White Heath ,IL
13827,White Horse Beach ,MA
13829,White Lake ,MI
13830,White Lake ,NY
13835,White Plains ,MD
13837,White Post ,VA
13845,Whitehouse ,NJ
13848,Whitehouse Station ,NJ
13851,Whites Creek ,TN
13856,Whitestone ,NY
13859,Whitewater ,CO
13869,Whitney ,PA
13872,Whittaker ,MI
13877,Wickatunk ,NJ
13881,Widen ,WV
13882,Widnoon ,PA
13889,Wildersville ,TN
13890,Wilderville ,OR
13893,Wildwood ,PA
13894,Wildwood ,GA
13896,Wilkes Barre ,PA
13899,Willard ,NC
13906,Williamsburg ,MI
13908,Williamsburg ,IN
13935,Willis ,MI
13943,Williston ,NC
13949,Willow Spring ,NC
13954,Willseyville ,NY
13955,Willshire ,IN
13956,Wilmer ,AL
13960,Wilmington ,CA
13976,Wilsons Mills ,NC
13987,Winburne ,PA
14000,Windfall ,IN
14013,Windsor ,NJ
14015,Windsor ,OH
14016,Windsor ,PA
14018,Windsor ,WI
14021,Windsor Mill ,MD
14030,Wingdale ,NY
14031,Wingina ,VA
14034,Winn ,MI
14035,Winnabow ,NC
14041,Winnetka ,CA
14045,Winona ,OH
14046,Winona Lake ,IN
14054,Winston ,GA
14055,Winston Salem ,NC
14067,Winthrop ,MA
14073,Wirtz ,VA
14077,Wise ,NC
14088,Wolf Creek ,OR
14090,Wolsey ,SD
14096,Wood Ridge ,NJ
14099,Wood River Junction ,RI
14101,Woodbine ,MD
14104,Woodbourne ,NY
14116,Woodbury ,PA
14120,Woodford ,VA
14125,Woodland ,PA
14127,Woodland Hills ,CA
14128,Woodland Park ,CO
14130,Woodlawn ,TN
14131,Woodlawn ,VA
14132,Woodleaf ,NC
14137,Woodruff ,AZ
14144,Woodside ,NY
14149,Woodstock ,MD
3707,East McKeesport ,PA
4510,Fort McCoy ,FL
7950,McAdenville ,NC
7951,McAfee ,NJ
7952,McAlisterville ,PA
7953,McArthur ,OH
7954,McBain ,MI
7955,McCalla ,AL
7956,McCallsburg ,IA
7957,McCaskill ,AR
7958,McCausland ,IA
7959,McClelland ,IA
7960,McClellandtown ,PA
7961,McClure ,OH
7962,McClure ,PA
7963,McComb ,OH
7964,McConnellsburg ,PA
7965,McConnellstown ,PA
7966,McCook ,NE
7967,McCool Junction ,NE
7968,McCordsville ,IN
7969,McCormick ,SC
7970,McCutchenville ,OH
7971,McDavid ,FL
7972,McDermott ,OH
7973,McDonald ,OH
7974,McDonald ,PA
7975,McDonald ,TN
7976,McElhattan ,PA
7977,McEwensville ,PA
7978,McFarland ,WI
7979,McGaheysville ,VA
7980,McGee ,MO
7981,McGrann ,PA
7982,McGraw ,NY
7983,McGregor ,IA
7984,McGregor ,TX
7985,McGuffey ,OH
7986,McHenry ,MD
7987,McKean ,PA
7988,McKees Rocks ,PA
7989,McKenzie ,TN
7990,McKnightstown ,PA
7991,McLean ,IL
7992,McLean ,VA
7993,McLeansville ,NC
7994,McLeod ,MT
7995,McNabb ,IL
7996,McQueeney ,TX
7997,McSherrystown ,PA
7998,McVeytown ,PA
7999,McAlester ,OK
8000,McCammon ,ID
8001,McComb ,MS
8002,McConnelsville ,OH
8003,McCutcheon Field ,NC
8004,McDonough ,GA
8005,McGregor ,MN
8006,Mchenry ,IL
8007,McKeesport ,PA
8008,McKinney ,TX
8009,McLoud ,OK
8010,McMechen ,WV
8011,McMinnville ,OR
8012,McPherson ,KS
830,Bay St. Louis ,MS
3734,East St. Louis ,IL
4975,Glen St. Mary ,FL
7768,Marine on St. Croix ,MN
10403,Port St. Lucie ,FL
11245,St. Albans ,ME
11246,St. Albans ,MO
11247,St. Albans ,NY
11248,St. Albans ,VT
11249,St. Albans ,WV
11250,St. Albans Bay ,VT
11251,St. Amant ,LA
11252,St. Anne ,IL
11253,St. Anthony ,IA
11254,St. Anthony ,ID
11255,St. Anthony ,IN
11256,St. Augustine ,FL
11257,St. Augustine ,IL
11258,St. Benedict ,PA
11259,St. Bonifacius ,MN
11260,St. Charles ,IA
11261,St. Charles ,IL
11262,St. Charles ,MI
11263,St. Charles ,MN
11264,St. Charles ,MO
11265,St. Clair ,MI
11266,St. Clair ,MN
11267,St. Clair ,MO
11268,St. Clair Shores ,MI
11269,St. Clairsville ,OH
11270,St. Cloud ,FL
11271,St. Cloud ,MN
11272,St. Cloud ,WI
11273,St. David ,IL
11274,St. Francis ,MN
11275,St. Francis ,SD
11276,St. Francis ,WI
11277,St. George ,KS
11278,St. Georges ,DE
11279,St. Hedwig ,TX
11280,St. Helen ,MI
11281,St. Helena Island ,SC
11282,St. Henry ,OH
11283,St. Ignace ,MI
11284,St. Ignatius ,MT
11285,St. Inigoes ,MD
11286,St. Jacob ,IL
11287,St. James ,MN
11288,St. James ,NY
11289,St. James City ,FL
11290,St. Joe ,IN
11291,St. John ,IN
11292,St. Johns ,AZ
11293,St. Johns ,FL
11294,St. Johns ,MI
11295,St. Johnsville ,NY
11296,St. Joseph ,IL
11297,St. Joseph ,MN
11298,St. Joseph ,MO
11299,St. Joseph ,MI
11300,St. Landry ,LA
11301,St. Leonard ,MD
11302,St. Libory ,IL
11303,St. Louis ,MI
11304,St. Louis ,MO
11305,St. Louisville ,OH
11306,St. Marks ,FL
11307,St. Martinville ,LA
11308,St. Marys ,IA
11309,St. Marys ,KS
11310,St. Marys ,OH
11311,St. Marys ,PA
11312,St. Marys ,WV
11313,St. Marys ,GA
11314,St. Marys City ,MD
11315,St. Matthews ,SC
11316,St. Meinrad ,IN
11317,St. Michael ,MN
11318,St. Michael ,PA
11319,St. Michaels ,MD
11320,St. Onge ,SD
11321,St. Paris ,OH
11322,St. Paul ,IN
11323,St. Paul ,MN
11324,St. Paul Park ,MN
11325,St. Pauls ,NC
11326,St. Peter ,MN
11327,St. Peters ,MO
11328,St. Petersburg ,FL
11329,St. Petersburg ,PA
11330,St. Regis ,MT
11331,St. Simons Island ,GA
11332,St. Thomas ,MO
11333,St. Thomas ,PA
